Authors,Source,Title,Year,Thermal transformation span (TSPAN) - (AF-MF) - (°C),Calculated Density (g/cm^3),Cu (at.%),composition,Al (at.%),Mn (at.%)
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,69.0,7.20809,70.1,Cu70.1Al26.8Mn3.1 %,26.8,3.1
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,42.7,7.38225,72.9,Cu72.9Al24.0Mn3.1 %,24.0,3.1
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,42.7,7.38225,72.9,Cu72.9Al24.0Mn3.1 %,24.0,3.1
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,42.5,7.3721,72.2,Cu72.2Al24.0Mn3.8 %,24.0,3.8
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,42.5,7.3721,72.2,Cu72.2Al24.0Mn3.8 %,24.0,3.8
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,43.2,7.35531,71.7,Cu71.7Al24.2Mn4.1 %,24.2,4.1
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,43.2,7.35531,71.7,Cu71.7Al24.2Mn4.1 %,24.2,4.1
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,38.4,7.0835,67.1,Cu67.1Al28.5Mn4.4 %,28.5,4.4
Mallik; Sampath,,Effect of alloying on microstructure and shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,46.0,7.41545,71.9,Cu71.9Al23.0Mn5.1 %,23.0,5.1
Mallik; Sampath,,Effect of alloying on microstructure and shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,44.0,7.29292,69.7,Cu69.7Al24.9Mn5.4 %,24.9,5.4
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,45.2,7.29292,69.7,Cu69.7Al24.9Mn5.4 %,24.9,5.4
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,41.3,7.22969,68.3,Cu68.3Al25.8Mn5.9 %,25.8,5.9
