Authors,Source,Title,Year,Martensite Start Temperature - MS - (°C),Austenite Start Temperature - AS - (°C),Ni (at.%),composition,Ti (at.%),Hf (at.%)
N. N. Popov; D. V. Presnyakov; E. N. Grishin; T. I. Sysoeva; T. A. Morozova and A. A. Kostyleva,Russian Metallurgy (Metally),Properties of a 49Ni–36Ti–15Hf High-Temperature Shape Memory Alloy in the As-Cast State,2019.0,211.0,242.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. L. Meng; Y. F. Zheng; Z. Wang and L. C. Zhao,Materials Letters,Shape memory properties of the Ti36Ni49Hf15 high temperature shape memory alloy,2000.0,179.0,216.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
D.-J. Kim; Y.-W. Kim and T.-H. Nam,Journal of nanoscience and nanotechnology,Solidification Rate Dependence of Microstructures and Transformation Behavior of Ti–Ni–Hf Alloys,2018.0,162.0,217.0,49.0,Ni49.0Ti31.0Hf20.0 %,31.0,20.0
D.-J. Kim; Y.-W. Kim and T.-H. Nam,Journal of nanoscience and nanotechnology,Solidification Rate Dependence of Microstructures and Transformation Behavior of Ti–Ni–Hf Alloys,2018.0,167.0,239.0,49.0,Ni49.0Ti31.0Hf20.0 %,31.0,20.0
D.-J. Kim; Y.-W. Kim and T.-H. Nam,Journal of nanoscience and nanotechnology,Solidification Rate Dependence of Microstructures and Transformation Behavior of Ti–Ni–Hf Alloys,2018.0,308.0,324.0,49.0,Ni49.0Ti31.0Hf20.0 %,31.0,20.0
X. L. Meng; W. Cai; Y. F. Zheng; Y. B. Rao and L. C. Zhao,Materials Letters,Two-way shape memory effect induced by martensite deformation and stabilization of martensite in Ti36Ni49Hf15 high temperature shape memory alloy,2003.0,196.0,249.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. L. Meng; W. Cai; Y. F. Zheng; Y. B. Rao and L. C. Zhao,Materials Letters,Two-way shape memory effect induced by martensite deformation and stabilization of martensite in Ti36Ni49Hf15 high temperature shape memory alloy,2003.0,195.0,253.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. L. Meng; W. Cai; Y. F. Zheng; Y. B. Rao and L. C. Zhao,Materials Letters,Two-way shape memory effect induced by martensite deformation and stabilization of martensite in Ti36Ni49Hf15 high temperature shape memory alloy,2003.0,194.0,264.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. L. Meng; W. Cai; Y. F. Zheng; Y. B. Rao and L. C. Zhao,Materials Letters,Two-way shape memory effect induced by martensite deformation and stabilization of martensite in Ti36Ni49Hf15 high temperature shape memory alloy,2003.0,193.0,271.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. L. Meng; W. Cai; Y. F. Zheng; Y. B. Rao and L. C. Zhao,Materials Letters,Two-way shape memory effect induced by martensite deformation and stabilization of martensite in Ti36Ni49Hf15 high temperature shape memory alloy,2003.0,192.0,279.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
