Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Ni (at.%),composition,Ti (at.%),Au (at.%)
S.H. Kayani; M.I. Khan; F.A. Khalid; H.Y. Young S. Miyazaki,Shape Memory and Superelasticity,Precipitation Behavior of Thermo-Mechanically Treated Ti50Ni20Au20Cu10 High-Temperature Shape-Memory Alloy,2016.0,10.0,10.0,30.0,Ni30.0Ti50.0Au20.0 %,50.0,20.0
S.H. Kayani; M.I. Khan; F.A. Khalid; H.Y. Young S. Miyazaki,Shape Memory and Superelasticity,Precipitation Behavior of Thermo-Mechanically Treated Ti50Ni20Au20Cu10 High-Temperature Shape-Memory Alloy,2016.0,10.0,10.0,30.0,Ni30.0Ti50.0Au20.0 %,50.0,20.0
S.H. Kayani; M.I. Khan; F.A. Khalid; H.Y. Young S. Miyazaki,Shape Memory and Superelasticity,Precipitation Behavior of Thermo-Mechanically Treated Ti50Ni20Au20Cu10 High-Temperature Shape-Memory Alloy,2016.0,10.0,10.0,30.0,Ni30.0Ti50.0Au20.0 %,50.0,20.0
S.H. Kayani; M.I. Khan; F.A. Khalid; H.Y. Young S. Miyazaki,Shape Memory and Superelasticity,Precipitation Behavior of Thermo-Mechanically Treated Ti50Ni20Au20Cu10 High-Temperature Shape-Memory Alloy,2016.0,10.0,10.0,30.0,Ni30.0Ti50.0Au20.0 %,50.0,20.0
S. Besseghini; F. Passaretti; E. Villa; P. Fabbro; F. Ricciardi,Gold Bulletin,Gold with martensitic transformation: which opportunities?,2007.0,5.0,5.0,33.0,Ni33.0Ti29.0Au38.0 %,29.0,38.0
S. Besseghini; F. Passaretti; E. Villa; P. Fabbro; F. Ricciardi,Gold Bulletin,Gold with martensitic transformation: which opportunities?,2007.0,5.0,5.0,33.0,Ni33.0Ti29.0Au38.0 %,29.0,38.0
S. Besseghini; F. Passaretti; E. Villa; P. Fabbro; F. Ricciardi,Gold Bulletin,Gold with martensitic transformation: which opportunities?,2007.0,5.0,5.0,33.0,Ni33.0Ti29.0Au38.0 %,29.0,38.0
,,,2022.0,8.7601,27.449,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,9.4008,27.18,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,9.3997,27.074,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,9.4029,26.854,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,9.1378,27.25,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,9.3518,27.038,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,8.4154,27.994,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
