Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Cu (at.%),composition,Au (at.%),Al (at.%)
S. Urbano; A. Manca; S. Besseghini; G. Airoldi,,Martensite ageing effects in Au7Cu5Al14,2005.0,200.0,50.0,32.2,Au43.3Cu32.2Al24.5 %,43.3,24.5
S. Urbano; A. Manca; S. Besseghini; G. Airoldi,,Martensite ageing effects in Au7Cu5Al14,2005.0,200.0,50.0,32.2,Au43.3Cu32.2Al24.5 %,43.3,24.5
S. Urbano; A. Manca; S. Besseghini; G. Airoldi,,Martensite ageing effects in Au7Cu5Al14,2005.0,200.0,50.0,32.2,Au43.3Cu32.2Al24.5 %,43.3,24.5
S. Urbano; A. Manca; S. Besseghini; G. Airoldi,,Martensite ageing effects in Au7Cu5Al14,2005.0,200.0,50.0,32.2,Au43.3Cu32.2Al24.5 %,43.3,24.5
S. Urbano; A. Manca; S. Besseghini; G. Airoldi,,Martensite ageing effects in Au7Cu5Al14,2005.0,200.0,50.0,32.2,Au43.3Cu32.2Al24.5 %,43.3,24.5
S. Urbano; A. Manca; S. Besseghini; G. Airoldi,,Martensite ageing effects in Au7Cu5Al14,2005.0,200.0,50.0,32.2,Au43.3Cu32.2Al24.5 %,43.3,24.5
S. Urbano; A. Manca; S. Besseghini; G. Airoldi,,Martensite ageing effects in Au7Cu5Al14,2005.0,200.0,50.0,32.2,Au43.3Cu32.2Al24.5 %,43.3,24.5
S. Urbano; A. Manca; S. Besseghini; G. Airoldi,,Martensite ageing effects in Au7Cu5Al14,2005.0,200.0,50.0,32.2,Au43.3Cu32.2Al24.5 %,43.3,24.5
S. Urbano; A. Manca; S. Besseghini; G. Airoldi,,Martensite ageing effects in Au7Cu5Al14,2005.0,200.0,50.0,32.2,Au43.3Cu32.2Al24.5 %,43.3,24.5
Vijay Kumar Bhatia,University of Technology; Sydney,AuCuAl Shape Memory Alloys for Use in Opto-Mechanical Nanoactuators,2013.0,10.0,10.0,31.3,Au56.1Cu31.3Al12.6 %,56.1,12.6
Michael B. Cortiea; Catherine S. Kealley; Vijay Bhatia; Gordon J. Thorogood; Margaret M. Elcombe; Maxim Avdeev,Journal of Alloys and Compounds,High temperature transformations of the Au7Cu5Al4 shape-memory alloy,2011.0,10.0,10.0,31.25,Au43.75Cu31.25Al25.0 %,43.75,25.0
Michael B. Cortiea; Catherine S. Kealley; Vijay Bhatia; Gordon J. Thorogood; Margaret M. Elcombe; Maxim Avdeev,Journal of Alloys and Compounds,High temperature transformations of the Au7Cu5Al4 shape-memory alloy,2011.0,10.0,10.0,31.25,Au43.75Cu31.25Al25.0 %,43.75,25.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,23.1,Au57.6Cu23.1Al19.3 %,57.6,19.3
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,32.7,Au45.4Cu32.7Al21.9 %,45.4,21.9
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,32.7,Au45.4Cu32.7Al21.9 %,45.4,21.9
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,32.7,Au45.4Cu32.7Al21.9 %,45.4,21.9
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,32.7,Au45.4Cu32.7Al21.9 %,45.4,21.9
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,34.0,Au44.0Cu34.0Al22.0 %,44.0,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,34.0,Au44.0Cu34.0Al22.0 %,44.0,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,34.0,Au44.0Cu34.0Al22.0 %,44.0,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,34.0,Au44.0Cu34.0Al22.0 %,44.0,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,34.0,Au44.0Cu34.0Al22.0 %,44.0,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,34.0,Au44.0Cu34.0Al22.0 %,44.0,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,34.0,Au44.0Cu34.0Al22.0 %,44.0,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,34.0,Au44.0Cu34.0Al22.0 %,44.0,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,34.0,Au44.0Cu34.0Al22.0 %,44.0,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,34.0,Au44.0Cu34.0Al22.0 %,44.0,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,34.0,Au44.0Cu34.0Al22.0 %,44.0,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,32.5,Au45.5Cu32.5Al22.0 %,45.5,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,32.5,Au45.5Cu32.5Al22.0 %,45.5,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,32.5,Au45.5Cu32.5Al22.0 %,45.5,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,32.5,Au45.5Cu32.5Al22.0 %,45.5,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,32.5,Au45.5Cu32.5Al22.0 %,45.5,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,32.5,Au45.5Cu32.5Al22.0 %,45.5,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,28.5,Au49.1Cu28.5Al22.4 %,49.1,22.4
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,28.5,Au49.1Cu28.5Al22.4 %,49.1,22.4
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,28.5,Au49.1Cu28.5Al22.4 %,49.1,22.4
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,10.0,10.0,28.5,Au49.1Cu28.5Al22.4 %,49.1,22.4
